"screenId","screenTitle","actionId","label","scope","visibility","request","operationId","destination","conditionalBranches","productionEffect","actor","guard","errors","offline","idempotency","confirmation"
"AUTH_WELCOME","Welcome to FeedMe","AUTH_WELCOME.01","Create account","screen","","LOCAL navigate","","AUTH_SIGNUP","[]","Preserve the current draft and open the destination.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_WELCOME","Welcome to FeedMe","AUTH_WELCOME.02","Log in","screen","","LOCAL navigate","","AUTH_LOGIN","[]","Preserve the current draft and open the destination.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_WELCOME","Welcome to FeedMe","AUTH_WELCOME.03","Continue with Apple","screen","","EXTERNAL OIDC.authorizeApplePKCE","","AUTH_CALLBACK","[]","Open system browser; store random state, nonce and PKCE verifier in a short-lived protected session.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_WELCOME","Welcome to FeedMe","AUTH_WELCOME.04","Continue with Google","screen","","EXTERNAL OIDC.authorizeGooglePKCE","","AUTH_CALLBACK","[]","Open system browser with PKCE; request only identity scopes.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_WELCOME","Welcome to FeedMe","AUTH_WELCOME.05","Try cooking first","screen","","POST /v1/guest-sessions","createGuestSession","HOME","[]","Create an opaque, scoped guest identity. Cooking is enabled; social actions retain a return destination before signup.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Retain input and retry online; do not show a durable success before server receipt.","Stable client operation ID for durable command; server idempotency record and transaction receipt. If-Match where versioned.","no"
"AUTH_WELCOME","Welcome to FeedMe","AUTH_WELCOME.06","Terms and privacy","screen","","LOCAL navigate","","LEGAL","[]","Preserve the current draft and open the destination.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_SIGNUP","Create your account","AUTH_SIGNUP.back","Back","back","","LOCAL navigate","","AUTH_WELCOME","[]","Return to previous allowed screen; retain draft/session state. Unsaved destructive exits ask before discarding.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_SIGNUP","Create your account","AUTH_SIGNUP.01","Create account","screen","","EXTERNAL Cognito.signUp","","AUTH_VERIFY","[]","Validate locally, then provider-side. Password never enters FeedMe API/logs. Store only pending verification identity.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","Invalid fields/password policy; throttled; generic existing-account guidance without revealing account state.","Retain input and retry online; do not show a durable success before server receipt.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_SIGNUP","Create your account","AUTH_SIGNUP.02","Already have an account","screen","","LOCAL navigate","","AUTH_LOGIN","[]","Preserve the current draft and open the destination.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
"AUTH_SIGNUP","Create your account","AUTH_SIGNUP.03","Read terms","screen","","LOCAL navigate","","LEGAL","[]","Preserve the current draft and open the destination.","public","Validate authentication scope, feature flag, resource ownership/membership, current revision and required field constraints on the server for network operations.","401 expired session → login with safe return; 403/404 unavailable → remove restricted content; 409/412 conflict → refresh and review; 422 invalid → inline correction; 429/503 → bounded retry with input retained.","Available locally; reauthorize any destination data on access.","No durable command; provider/native-specific replay protection applies.","no"
