"featureId","feature","phase","document","screens","operations"
"F01","Make Mine","P1","features/F01.md","RECIPE;ADAPT;VARIANT;UNAVAILABLE","createPlan;getPlan;adaptPlan"
"F02","Smart Meal Helper","P1","features/F02.md","HOME;REQUEST;RECOMMENDATIONS","createPlan;listPlans"
"F03","Use What I Have","P1","features/F03.md","REQUEST;PANTRY","searchIngredients;listPantry;upsertPantryItem;removePantryItem"
"F04","Food Preferences","P1","features/F04.md","FOOD_PREFS;EQUIPMENT","getPreferences;updatePreferences;searchIngredients"
"F05","Match My Energy","P1","features/F05.md","EQUIPMENT;EFFORT;ADAPT","getPreferences;updatePreferences;createPlan"
"F06","Taste and Texture","P1","features/F06.md","TASTE","getPreferences;updatePreferences;createPlan"
"F07","Cook Assemble Improve","P1","features/F07.md","HOME;REQUEST","createPlan"
"F08","Make It Easier","P1","features/F08.md","EFFORT;VARIANT","simplifyPlan"
"F09","Something Else","P1","features/F09.md","RECOMMENDATIONS","nextPlan"
"F10","Keep the Vibe","P1","features/F10.md","TASTE;ADAPT;VARIANT;ADMIN_SUBSTITUTION","adaptPlan"
"F11","Effort Preview","P1","features/F11.md","EFFORT;RECOMMENDATIONS;RECIPE;VARIANT","getRecipeVersion;createPlan;getPlan"
"F12","Guided Cooking","P1","features/F12.md","RECIPE;COOK;TIMER;OFFLINE","createCookSession;getCookSession;updateCookSession;completeCookSession"
"F13","Reviewed Recipe Library","P1","features/F13.md","RECIPE;PACK_DETAIL;ADMIN_RECIPE;ADMIN_REVIEW;ADMIN_SUBSTITUTION","listRecipes;getRecipeVersion"
"F14","Make Again","P1","features/F14.md","MEAL_DONE;COOKBOOK","completeCookSession;listSavedRecipes;saveRecipe"
"F15","Optional Feedback","P1","features/F15.md","MEAL_DONE;FEEDBACK","completeCookSession;createFeedback;updateFeedback;deleteFeedback"
"F16","Taste and Effort Memory","P1","features/F16.md","FEEDBACK;MEMORY;MEMORY_DETAIL","createFeedback;updateFeedback;listMemories"
"F17","Explain My Suggestion","P1","features/F17.md","RECOMMENDATIONS;VARIANT;MEMORY_DETAIL","getPlan;getPlanExplanation"
"F18","Editable Memories","P1","features/F18.md","MEMORY;MEMORY_DETAIL","deleteFeedback;listMemories;getMemory;updateMemory;deleteMemory"
